
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.00963 0.09810 0.00000 
-0.00886 0.09409 0.00000 
-0.00812 0.09009 0.00000 
-0.00741 0.08609 0.00000 
-0.00674 0.08208 0.00000 
-0.00610 0.07808 0.00000 
-0.00549 0.07407 0.00000 
-0.00491 0.07007 0.00000 
-0.00437 0.06607 0.00000 
-0.00385 0.06206 0.00000 
-0.00337 0.05806 0.00000 
-0.00292 0.05405 0.00000 
-0.00251 0.05005 0.00000 
-0.00212 0.04605 0.00000 
-0.00177 0.04204 0.00000 
-0.00145 0.03804 0.00000 
-0.00116 0.03403 0.00000 

# Contour 3, label: 
-0.83823 0.49850 0.00000 
-0.83477 0.50250 0.00000 
-0.83129 0.50651 0.00000 
-0.82828 0.50994 0.00000 
-0.82767 0.51051 0.00000 
-0.82340 0.51451 0.00000 
-0.81909 0.51852 0.00000 
-0.81474 0.52252 0.00000 
-0.81036 0.52653 0.00000 
-0.80595 0.53053 0.00000 
-0.80151 0.53453 0.00000 
-0.79703 0.53854 0.00000 
-0.79252 0.54254 0.00000 
-0.78797 0.54655 0.00000 
-0.78788 0.54663 0.00000 
-0.78228 0.55055 0.00000 
-0.77652 0.55455 0.00000 
-0.77072 0.55856 0.00000 
-0.76487 0.56256 0.00000 
-0.75899 0.56657 0.00000 
-0.75307 0.57057 0.00000 
-0.74747 0.57432 0.00000 
-0.74698 0.57457 0.00000 
-0.73912 0.57858 0.00000 
-0.73120 0.58258 0.00000 
-0.72323 0.58659 0.00000 
-0.71520 0.59059 0.00000 
-0.70712 0.59459 0.00000 
-0.70707 0.59462 0.00000 
-0.69565 0.59860 0.00000 
-0.68408 0.60260 0.00000 
-0.67244 0.60661 0.00000 
-0.66667 0.60858 0.00000 
-0.65693 0.61061 0.00000 
-0.63763 0.61461 0.00000 
-0.62626 0.61696 0.00000 
-0.60623 0.61862 0.00000 
-0.58586 0.62030 0.00000 
-0.54545 0.61901 0.00000 
-0.54265 0.61862 0.00000 
-0.51393 0.61461 0.00000 
-0.50505 0.61337 0.00000 
-0.49357 0.61061 0.00000 
-0.47701 0.60661 0.00000 
-0.46465 0.60360 0.00000 
-0.46170 0.60260 0.00000 
-0.44988 0.59860 0.00000 
-0.43814 0.59459 0.00000 
-0.42648 0.59059 0.00000 
-0.42424 0.58982 0.00000 
-0.41678 0.58659 0.00000 
-0.40760 0.58258 0.00000 
-0.39848 0.57858 0.00000 
-0.38943 0.57457 0.00000 
-0.38384 0.57209 0.00000 
-0.38096 0.57057 0.00000 
-0.37341 0.56657 0.00000 
-0.36591 0.56256 0.00000 
-0.35846 0.55856 0.00000 
-0.35107 0.55455 0.00000 
-0.34373 0.55055 0.00000 
-0.34343 0.55039 0.00000 
-0.33729 0.54655 0.00000 
-0.33094 0.54254 0.00000 
-0.32463 0.53854 0.00000 
-0.31837 0.53453 0.00000 
-0.31215 0.53053 0.00000 
-0.30598 0.52653 0.00000 
-0.30303 0.52459 0.00000 
-0.30017 0.52252 0.00000 
-0.29468 0.51852 0.00000 
-0.28924 0.51451 0.00000 
-0.28383 0.51051 0.00000 
-0.27847 0.50651 0.00000 
-0.27315 0.50250 0.00000 
-0.26788 0.49850 0.00000 
-0.26264 0.49449 0.00000 
-0.25785 0.49049 0.00000 
-0.25310 0.48649 0.00000 
-0.24839 0.48248 0.00000 
-0.24371 0.47848 0.00000 
-0.23908 0.47447 0.00000 
-0.23448 0.47047 0.00000 
-0.22993 0.46647 0.00000 
-0.22541 0.46246 0.00000 
-0.22222 0.45961 0.00000 
-0.22101 0.45846 0.00000 
-0.21684 0.45445 0.00000 
-0.21271 0.45045 0.00000 
-0.20862 0.44645 0.00000 
-0.20456 0.44244 0.00000 
-0.20054 0.43844 0.00000 
-0.19655 0.43443 0.00000 
-0.19261 0.43043 0.00000 
-0.18869 0.42643 0.00000 
-0.18482 0.42242 0.00000 
-0.18182 0.41929 0.00000 
-0.18102 0.41842 0.00000 
-0.17740 0.41441 0.00000 

# Contour 4, label: 
-0.99232 0.12212 0.00000 
-0.99183 0.12613 0.00000 
-0.99134 0.13013 0.00000 
-0.99082 0.13413 0.00000 
-0.99029 0.13814 0.00000 
-0.98990 0.14105 0.00000 
-0.98973 0.14214 0.00000 
-0.98910 0.14615 0.00000 
-0.98845 0.15015 0.00000 
-0.98778 0.15415 0.00000 
-0.98709 0.15816 0.00000 
-0.98639 0.16216 0.00000 
-0.98566 0.16617 0.00000 
-0.98492 0.17017 0.00000 
-0.98417 0.17417 0.00000 
-0.98339 0.17818 0.00000 
-0.98260 0.18218 0.00000 
-0.98179 0.18619 0.00000 
-0.98096 0.19019 0.00000 
-0.98012 0.19419 0.00000 
-0.97926 0.19820 0.00000 
-0.97838 0.20220 0.00000 
-0.97748 0.20621 0.00000 
-0.97656 0.21021 0.00000 
-0.97563 0.21421 0.00000 
-0.97468 0.21822 0.00000 
-0.97371 0.22222 0.00000 
-0.97272 0.22623 0.00000 
-0.97172 0.23023 0.00000 
-0.97070 0.23423 0.00000 
-0.96966 0.23824 0.00000 
-0.96860 0.24224 0.00000 
-0.96753 0.24625 0.00000 
-0.96644 0.25025 0.00000 
-0.96533 0.25425 0.00000 
-0.96420 0.25826 0.00000 
-0.96306 0.26226 0.00000 
-0.96190 0.26627 0.00000 
-0.96072 0.27027 0.00000 
-0.95952 0.27427 0.00000 
-0.95831 0.27828 0.00000 
-0.95707 0.28228 0.00000 
-0.95582 0.28629 0.00000 
-0.95456 0.29029 0.00000 
-0.95327 0.29429 0.00000 
-0.95197 0.29830 0.00000 
-0.95065 0.30230 0.00000 
-0.94949 0.30575 0.00000 
-0.94928 0.30631 0.00000 
-0.94773 0.31031 0.00000 
-0.94616 0.31431 0.00000 
-0.94457 0.31832 0.00000 
-0.94296 0.32232 0.00000 
-0.94132 0.32633 0.00000 
-0.93967 0.33033 0.00000 
-0.93800 0.33433 0.00000 
-0.93631 0.33834 0.00000 
-0.93459 0.34234 0.00000 
-0.93286 0.34635 0.00000 
-0.93111 0.35035 0.00000 
-0.92933 0.35435 0.00000 
-0.92754 0.35836 0.00000 
-0.92573 0.36236 0.00000 
-0.92389 0.36637 0.00000 
-0.92204 0.37037 0.00000 
-0.92016 0.37437 0.00000 
-0.91827 0.37838 0.00000 
-0.91636 0.38238 0.00000 
-0.91442 0.38639 0.00000 
-0.91247 0.39039 0.00000 
-0.91049 0.39439 0.00000 
-0.90909 0.39721 0.00000 
-0.90840 0.39840 0.00000 
-0.90606 0.40240 0.00000 
-0.90370 0.40641 0.00000 
-0.90131 0.41041 0.00000 
-0.89890 0.41441 0.00000 
-0.89647 0.41842 0.00000 
-0.89402 0.42242 0.00000 
-0.89154 0.42643 0.00000 
-0.88903 0.43043 0.00000 
-0.88651 0.43443 0.00000 
-0.88396 0.43844 0.00000 
-0.88138 0.44244 0.00000 
-0.87879 0.44645 0.00000 
-0.87617 0.45045 0.00000 
-0.87353 0.45445 0.00000 
-0.87086 0.45846 0.00000 
-0.86869 0.46169 0.00000 
-0.86807 0.46246 0.00000 
-0.86487 0.46647 0.00000 
-0.86164 0.47047 0.00000 
-0.85837 0.47447 0.00000 
-0.85509 0.47848 0.00000 
-0.85177 0.48248 0.00000 
-0.84842 0.48649 0.00000 
-0.84505 0.49049 0.00000 
-0.84165 0.49449 0.00000 
-0.83823 0.49850 0.00000 

# Contour 5, label: 
-0.96190 -0.26627 0.00000 
-0.96306 -0.26226 0.00000 
-0.96420 -0.25826 0.00000 
-0.96533 -0.25425 0.00000 
-0.96644 -0.25025 0.00000 
-0.96753 -0.24625 0.00000 
-0.96860 -0.24224 0.00000 
-0.96966 -0.23824 0.00000 
-0.97070 -0.23423 0.00000 
-0.97172 -0.23023 0.00000 
-0.97272 -0.22623 0.00000 
-0.97371 -0.22222 0.00000 
-0.97468 -0.21822 0.00000 
-0.97563 -0.21421 0.00000 
-0.97656 -0.21021 0.00000 
-0.97748 -0.20621 0.00000 
-0.97838 -0.20220 0.00000 
-0.97926 -0.19820 0.00000 
-0.98012 -0.19419 0.00000 
-0.98096 -0.19019 0.00000 
-0.98179 -0.18619 0.00000 
-0.98260 -0.18218 0.00000 
-0.98339 -0.17818 0.00000 
-0.98417 -0.17417 0.00000 
-0.98492 -0.17017 0.00000 
-0.98566 -0.16617 0.00000 
-0.98639 -0.16216 0.00000 
-0.98709 -0.15816 0.00000 
-0.98778 -0.15415 0.00000 
-0.98845 -0.15015 0.00000 
-0.98910 -0.14615 0.00000 
-0.98973 -0.14214 0.00000 
-0.98990 -0.14105 0.00000 
-0.99029 -0.13814 0.00000 
-0.99082 -0.13413 0.00000 
-0.99134 -0.13013 0.00000 
-0.99183 -0.12613 0.00000 
-0.99232 -0.12212 0.00000 
-0.99278 -0.11812 0.00000 
-0.99323 -0.11411 0.00000 
-0.99367 -0.11011 0.00000 
-0.99409 -0.10611 0.00000 
-0.99449 -0.10210 0.00000 
-0.99488 -0.09810 0.00000 
-0.99526 -0.09409 0.00000 
-0.99561 -0.09009 0.00000 
-0.99596 -0.08609 0.00000 
-0.99628 -0.08208 0.00000 
-0.99659 -0.07808 0.00000 
-0.99689 -0.07407 0.00000 
-0.99717 -0.07007 0.00000 
-0.99743 -0.06607 0.00000 
-0.99768 -0.06206 0.00000 
-0.99792 -0.05806 0.00000 
-0.99813 -0.05405 0.00000 
-0.99834 -0.05005 0.00000 
-0.99852 -0.04605 0.00000 
-0.99869 -0.04204 0.00000 
-0.99885 -0.03804 0.00000 
-0.99899 -0.03403 0.00000 
-0.99911 -0.03003 0.00000 
-0.99922 -0.02603 0.00000 
-0.99932 -0.02202 0.00000 
-0.99939 -0.01802 0.00000 
-0.99946 -0.01401 0.00000 
-0.99950 -0.01001 0.00000 
-0.99953 -0.00601 0.00000 
-0.99955 -0.00200 0.00000 
-0.99955 0.00200 0.00000 
-0.99953 0.00601 0.00000 
-0.99950 0.01001 0.00000 
-0.99946 0.01401 0.00000 
-0.99939 0.01802 0.00000 
-0.99932 0.02202 0.00000 
-0.99922 0.02603 0.00000 
-0.99911 0.03003 0.00000 
-0.99899 0.03403 0.00000 
-0.99885 0.03804 0.00000 
-0.99869 0.04204 0.00000 
-0.99852 0.04605 0.00000 
-0.99834 0.05005 0.00000 
-0.99813 0.05405 0.00000 
-0.99792 0.05806 0.00000 
-0.99768 0.06206 0.00000 
-0.99743 0.06607 0.00000 
-0.99717 0.07007 0.00000 
-0.99689 0.07407 0.00000 
-0.99659 0.07808 0.00000 
-0.99628 0.08208 0.00000 
-0.99596 0.08609 0.00000 
-0.99561 0.09009 0.00000 
-0.99526 0.09409 0.00000 
-0.99488 0.09810 0.00000 
-0.99449 0.10210 0.00000 
-0.99409 0.10611 0.00000 
-0.99367 0.11011 0.00000 
-0.99323 0.11411 0.00000 
-0.99278 0.11812 0.00000 
-0.99232 0.12212 0.00000 

# Contour 6, label: 
-0.58586 -0.62030 0.00000 
-0.60623 -0.61862 0.00000 
-0.62626 -0.61696 0.00000 
-0.63763 -0.61461 0.00000 
-0.65693 -0.61061 0.00000 
-0.66667 -0.60858 0.00000 
-0.67244 -0.60661 0.00000 
-0.68408 -0.60260 0.00000 
-0.69565 -0.59860 0.00000 
-0.70707 -0.59462 0.00000 
-0.70712 -0.59459 0.00000 
-0.71520 -0.59059 0.00000 
-0.72323 -0.58659 0.00000 
-0.73120 -0.58258 0.00000 
-0.73912 -0.57858 0.00000 
-0.74698 -0.57457 0.00000 
-0.74747 -0.57432 0.00000 
-0.75307 -0.57057 0.00000 
-0.75899 -0.56657 0.00000 
-0.76487 -0.56256 0.00000 
-0.77072 -0.55856 0.00000 
-0.77652 -0.55455 0.00000 
-0.78228 -0.55055 0.00000 
-0.78788 -0.54663 0.00000 
-0.78797 -0.54655 0.00000 
-0.79252 -0.54254 0.00000 
-0.79703 -0.53854 0.00000 
-0.80151 -0.53453 0.00000 
-0.80595 -0.53053 0.00000 
-0.81036 -0.52653 0.00000 
-0.81474 -0.52252 0.00000 
-0.81909 -0.51852 0.00000 
-0.82340 -0.51451 0.00000 
-0.82767 -0.51051 0.00000 
-0.82828 -0.50994 0.00000 
-0.83129 -0.50651 0.00000 
-0.83477 -0.50250 0.00000 
-0.83823 -0.49850 0.00000 
-0.84165 -0.49449 0.00000 
-0.84505 -0.49049 0.00000 
-0.84842 -0.48649 0.00000 
-0.85177 -0.48248 0.00000 
-0.85509 -0.47848 0.00000 
-0.85837 -0.47447 0.00000 
-0.86164 -0.47047 0.00000 
-0.86487 -0.46647 0.00000 
-0.86807 -0.46246 0.00000 
-0.86869 -0.46169 0.00000 
-0.87086 -0.45846 0.00000 
-0.87353 -0.45445 0.00000 
-0.87617 -0.45045 0.00000 
-0.87879 -0.44645 0.00000 
-0.88138 -0.44244 0.00000 
-0.88396 -0.43844 0.00000 
-0.88651 -0.43443 0.00000 
-0.88903 -0.43043 0.00000 
-0.89154 -0.42643 0.00000 
-0.89402 -0.42242 0.00000 
-0.89647 -0.41842 0.00000 
-0.89890 -0.41441 0.00000 
-0.90131 -0.41041 0.00000 
-0.90370 -0.40641 0.00000 
-0.90606 -0.40240 0.00000 
-0.90840 -0.39840 0.00000 
-0.90909 -0.39721 0.00000 
-0.91049 -0.39439 0.00000 
-0.91247 -0.39039 0.00000 
-0.91442 -0.38639 0.00000 
-0.91636 -0.38238 0.00000 
-0.91827 -0.37838 0.00000 
-0.92016 -0.37437 0.00000 
-0.92204 -0.37037 0.00000 
-0.92389 -0.36637 0.00000 
-0.92573 -0.36236 0.00000 
-0.92754 -0.35836 0.00000 
-0.92933 -0.35435 0.00000 
-0.93111 -0.35035 0.00000 
-0.93286 -0.34635 0.00000 
-0.93459 -0.34234 0.00000 
-0.93631 -0.33834 0.00000 
-0.93800 -0.33433 0.00000 
-0.93967 -0.33033 0.00000 
-0.94132 -0.32633 0.00000 
-0.94296 -0.32232 0.00000 
-0.94457 -0.31832 0.00000 
-0.94616 -0.31431 0.00000 
-0.94773 -0.31031 0.00000 
-0.94928 -0.30631 0.00000 
-0.94949 -0.30575 0.00000 
-0.95065 -0.30230 0.00000 
-0.95197 -0.29830 0.00000 
-0.95327 -0.29429 0.00000 
-0.95456 -0.29029 0.00000 
-0.95582 -0.28629 0.00000 
-0.95707 -0.28228 0.00000 
-0.95831 -0.27828 0.00000 
-0.95952 -0.27427 0.00000 
-0.96072 -0.27027 0.00000 
-0.96190 -0.26627 0.00000 

# Contour 7, label: 
1.69753 1.78779 0.00000 
1.69941 1.79179 0.00000 
1.70129 1.79580 0.00000 
1.70317 1.79980 0.00000 
1.70506 1.80380 0.00000 
1.70696 1.80781 0.00000 
1.70885 1.81181 0.00000 
1.71075 1.81582 0.00000 
1.71266 1.81982 0.00000 
1.71457 1.82382 0.00000 
1.71648 1.82783 0.00000 
1.71717 1.82927 0.00000 
1.71834 1.83183 0.00000 
1.72016 1.83584 0.00000 
1.72199 1.83984 0.00000 
1.72382 1.84384 0.00000 
1.72565 1.84785 0.00000 
1.72749 1.85185 0.00000 
1.72933 1.85586 0.00000 
1.73118 1.85986 0.00000 
1.73303 1.86386 0.00000 
1.73489 1.86787 0.00000 
1.73675 1.87187 0.00000 
1.73861 1.87588 0.00000 
1.74048 1.87988 0.00000 
1.74235 1.88388 0.00000 
1.74422 1.88789 0.00000 
1.74610 1.89189 0.00000 
1.74798 1.89590 0.00000 
1.74987 1.89990 0.00000 
1.75176 1.90390 0.00000 
1.75365 1.90791 0.00000 
1.75555 1.91191 0.00000 
1.75746 1.91592 0.00000 
1.75758 1.91617 0.00000 
1.75927 1.91992 0.00000 
1.76109 1.92392 0.00000 
1.76291 1.92793 0.00000 
1.76473 1.93193 0.00000 
1.76655 1.93594 0.00000 
1.76838 1.93994 0.00000 
1.77022 1.94394 0.00000 
1.77205 1.94795 0.00000 
1.77389 1.95195 0.00000 
1.77574 1.95596 0.00000 
1.77759 1.95996 0.00000 
1.77944 1.96396 0.00000 
1.78130 1.96797 0.00000 
1.78316 1.97197 0.00000 
1.78502 1.97598 0.00000 
1.78689 1.97998 0.00000 
1.78876 1.98398 0.00000 
1.79063 1.98799 0.00000 
1.79251 1.99199 0.00000 
1.79440 1.99600 0.00000 
1.79628 2.00000 0.00000 

# Contour 8, label: 
1.51991 1.41141 0.00000 
1.52178 1.41542 0.00000 
1.52365 1.41942 0.00000 
1.52552 1.42342 0.00000 
1.52740 1.42743 0.00000 
1.52929 1.43143 0.00000 
1.53118 1.43544 0.00000 
1.53307 1.43944 0.00000 
1.53497 1.44344 0.00000 
1.53688 1.44745 0.00000 
1.53879 1.45145 0.00000 
1.54071 1.45546 0.00000 
1.54263 1.45946 0.00000 
1.54456 1.46346 0.00000 
1.54649 1.46747 0.00000 
1.54843 1.47147 0.00000 
1.55037 1.47548 0.00000 
1.55232 1.47948 0.00000 
1.55427 1.48348 0.00000 
1.55556 1.48610 0.00000 
1.55619 1.48749 0.00000 
1.55804 1.49149 0.00000 
1.55990 1.49550 0.00000 
1.56176 1.49950 0.00000 
1.56362 1.50350 0.00000 
1.56549 1.50751 0.00000 
1.56736 1.51151 0.00000 
1.56924 1.51552 0.00000 
1.57113 1.51952 0.00000 
1.57302 1.52352 0.00000 
1.57491 1.52753 0.00000 
1.57681 1.53153 0.00000 
1.57871 1.53554 0.00000 
1.58062 1.53954 0.00000 
1.58254 1.54354 0.00000 
1.58446 1.54755 0.00000 
1.58638 1.55155 0.00000 
1.58831 1.55556 0.00000 
1.59024 1.55956 0.00000 
1.59218 1.56356 0.00000 
1.59413 1.56757 0.00000 
1.59596 1.57133 0.00000 
1.59607 1.57157 0.00000 
1.59791 1.57558 0.00000 
1.59976 1.57958 0.00000 
1.60161 1.58358 0.00000 
1.60347 1.58759 0.00000 
1.60533 1.59159 0.00000 
1.60720 1.59560 0.00000 
1.60907 1.59960 0.00000 
1.61095 1.60360 0.00000 
1.61283 1.60761 0.00000 
1.61471 1.61161 0.00000 
1.61660 1.61562 0.00000 
1.61850 1.61962 0.00000 
1.62040 1.62362 0.00000 
1.62230 1.62763 0.00000 
1.62421 1.63163 0.00000 
1.62612 1.63564 0.00000 
1.62804 1.63964 0.00000 
1.62997 1.64364 0.00000 
1.63189 1.64765 0.00000 
1.63383 1.65165 0.00000 
1.63576 1.65566 0.00000 
1.63636 1.65689 0.00000 
1.63763 1.65966 0.00000 
1.63947 1.66366 0.00000 
1.64131 1.66767 0.00000 
